                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4302,                 1.7607,                 1.3332,                0.63363,                 0.5358,                0.56568,                0.31681,                 1.3885,                 1.4928,                 1.3104,              0.0033307,              0.0033307,              0.0033307
                      2,                 1.4933,                 1.5477,                 1.3902,                0.59123,                0.44601,                0.47736,                0.26298,                 1.5326,                 1.5878,                 1.4491,               0.006598,               0.006598,               0.006598
                      3,                 1.6121,                  1.624,                 1.4828,                0.54569,                0.43464,                0.43219,                0.21346,                 1.6715,                 1.8134,                 1.5747,              0.0097994,              0.0097994,              0.0097994
                      4,                 1.6621,                 1.6772,                  1.541,                 0.5758,                0.43551,                 0.4575,                0.23483,                 1.6657,                 1.5988,                 1.5505,               0.009703,               0.009703,               0.009703
                      5,                 1.6174,                  1.602,                 1.5143,                0.59475,                0.47094,                0.49664,                0.26845,                  1.526,                 1.5102,                 1.4838,               0.009604,               0.009604,               0.009604
                      6,                 1.5795,                 1.5491,                 1.4945,                0.60723,                0.49229,                0.52572,                0.29239,                  1.517,                 1.3834,                 1.4548,               0.009505,               0.009505,               0.009505
                      7,                 1.5601,                 1.4977,                 1.4732,                0.62538,                0.51307,                0.54543,                0.30463,                 1.4618,                 1.3372,                   1.42,               0.009406,               0.009406,               0.009406
                      8,                 1.5344,                 1.4678,                 1.4605,                0.63077,                0.49829,                0.53914,                0.30273,                 1.4532,                 1.3277,                 1.4255,               0.009307,               0.009307,               0.009307
                      9,                 1.5217,                 1.4376,                 1.4488,                0.63342,                0.52397,                0.56257,                0.32094,                 1.4332,                 1.2736,                 1.4024,               0.009208,               0.009208,               0.009208
                     10,                 1.5138,                 1.4238,                 1.4387,                 0.6331,                0.52841,                0.56804,                0.31954,                 1.4326,                 1.2629,                 1.3951,               0.009109,               0.009109,               0.009109
                     11,                 1.4988,                 1.4094,                 1.4315,                0.64337,                0.53477,                0.57874,                0.33414,                 1.3992,                  1.222,                 1.3664,                0.00901,                0.00901,                0.00901
                     12,                 1.4859,                 1.3839,                 1.4244,                0.64366,                   0.54,                0.58265,                0.33515,                 1.3995,                 1.2074,                 1.3689,               0.008911,               0.008911,               0.008911
                     13,                 1.4809,                 1.3732,                 1.4166,                0.64777,                0.54288,                0.58823,                0.34287,                  1.369,                 1.1992,                 1.3602,               0.008812,               0.008812,               0.008812
                     14,                 1.4687,                 1.3491,                 1.4058,                0.64857,                0.55045,                0.59574,                0.34672,                 1.3697,                 1.1805,                 1.3518,               0.008713,               0.008713,               0.008713
                     15,                 1.4607,                 1.3407,                 1.4028,                 0.6474,                0.54378,                0.59455,                0.34905,                  1.362,                 1.1702,                  1.347,               0.008614,               0.008614,               0.008614
                     16,                 1.4533,                 1.3297,                 1.3947,                0.64631,                0.56135,                0.60193,                0.35362,                 1.3607,                 1.1527,                 1.3406,               0.008515,               0.008515,               0.008515
                     17,                 1.4495,                 1.3261,                 1.3941,                 0.6556,                0.55996,                0.60281,                0.35757,                 1.3418,                 1.1491,                 1.3291,               0.008416,               0.008416,               0.008416
                     18,                 1.4448,                 1.3159,                 1.3927,                0.65485,                0.56258,                0.60717,                0.36263,                 1.3335,                 1.1255,                 1.3222,               0.008317,               0.008317,               0.008317
                     19,                  1.437,                 1.3046,                 1.3863,                0.65459,                0.56497,                0.60939,                0.36224,                 1.3308,                 1.1234,                 1.3226,               0.008218,               0.008218,               0.008218
                     20,                 1.4231,                 1.3004,                 1.3836,                0.65885,                0.56614,                0.61345,                0.36642,                   1.32,                 1.1141,                 1.3198,               0.008119,               0.008119,               0.008119
                     21,                 1.4265,                 1.2998,                 1.3821,                0.66494,                0.56584,                0.61671,                0.36767,                 1.3198,                 1.1063,                 1.3145,                0.00802,                0.00802,                0.00802
                     22,                 1.4251,                 1.2831,                 1.3762,                0.66381,                0.56876,                0.61832,                0.37032,                 1.3078,                  1.101,                 1.3065,               0.007921,               0.007921,               0.007921
                     23,                 1.4176,                  1.269,                 1.3697,                0.66029,                0.57237,                0.62127,                0.37269,                    1.3,                 1.0877,                 1.3025,               0.007822,               0.007822,               0.007822
                     24,                 1.4113,                 1.2628,                 1.3624,                0.66488,                0.57913,                0.62487,                0.37502,                 1.3021,                 1.0763,                 1.3009,               0.007723,               0.007723,               0.007723
                     25,                 1.4085,                 1.2637,                 1.3666,                0.67001,                0.57062,                0.62511,                0.37728,                 1.2928,                  1.073,                 1.2974,               0.007624,               0.007624,               0.007624
                     26,                 1.4005,                 1.2523,                 1.3602,                0.67697,                0.57301,                0.62944,                0.37972,                 1.2875,                 1.0709,                 1.2922,               0.007525,               0.007525,               0.007525
                     27,                 1.4036,                 1.2515,                  1.357,                0.67241,                0.57409,                0.62976,                0.38027,                 1.2866,                 1.0655,                 1.2922,               0.007426,               0.007426,               0.007426
                     28,                  1.398,                 1.2483,                 1.3616,                0.67121,                 0.5796,                0.63222,                0.38215,                 1.2857,                 1.0574,                 1.2929,               0.007327,               0.007327,               0.007327
                     29,                 1.3912,                 1.2415,                 1.3559,                0.66934,                0.58327,                0.63353,                0.38406,                 1.2795,                 1.0543,                 1.2877,               0.007228,               0.007228,               0.007228
